date_time,Contamination,Rain,Temperature,Turbitity,,,Dates to find,,
19-Feb-13,red,0,52.754,5.4,,,4-Feb-13,,
19-Feb-13,red,0,52.682,7.1,,,12-Feb-13,,
19-Feb-13,red,0.38,52.61,4.2,,,19-Feb-13,,
19-Feb-13,red,0.38,52.484,4.9,,,26-Feb-13,,
19-Feb-13,red,0.38,52.466,8.3,,,06-Mar-13,,
26-Feb-13,green,0.01,54.626,40.7,,,12-Mar-13,,
26-Feb-13,green,0.01,53.312,75.5,,,17-Mar-13,,
26-Feb-13,green,0.01,52.88,4,,,18-Mar-13,,
26-Feb-13,green,0.01,52.574,165.1,,,26-Mar-13,,
26-Feb-13,green,0.01,52.664,12,,,02-Apr-13,,
06-Mar-13,yellow,0.2,53.24,118.5,,,09-Apr-13,,
06-Mar-13,yellow,0.2,52.808,19,,,15-Apr-13,,
06-Mar-13,yellow,0.51,52.646,15.7,,,22-Apr-13,,
06-Mar-13,yellow,0.51,52.574,18.6,,,30-Apr-13,,
06-Mar-13,yellow,0.51,52.916,36.4,,,06-May-13,,
12-Mar-13,green,0.31,54.122,30.6,,,13-May-13,,
12-Mar-13,green,0.31,53.348,41,,,21-May-13,,
12-Mar-13,green,0.31,53.24,74.4,,,28-May-13,,
12-Mar-13,green,0.31,52.754,1.6,,,03-Jun-13,,
12-Mar-13,green,0.31,52.736,1.6,,,10-Jun-13,,
17-Mar-13,yellow,0.01,54.014,0.9,,,17-Jun-13,,
17-Mar-13,yellow,0.01,55.238,0.9,,,24-Jun-13,,
17-Mar-13,yellow,0.02,54.338,0.8,,,01-Jul-13,,
17-Mar-13,yellow,0.02,52.196,0.7,,,09-Jul-13,,
17-Mar-13,yellow,0.02,52.376,0.7,,,16-Jul-13,,
18-Mar-13,green,0,54.446,0.7,,,22-Jul-13,,
18-Mar-13,green,0,55.112,0.7,,,29-Jul-13,,
18-Mar-13,green,0,53.168,0.7,,,05-Aug-13,,
18-Mar-13,green,0,50.702,0.7,,,12-Aug-13,,
18-Mar-13,green,0,50.63,0.7,,,14-Aug-13,,
26-Mar-13,red,0.13,54.428,161.17,,,19-Aug-13,,
26-Mar-13,red,0.13,54.95,3.1,,,20-Aug-13,,
26-Mar-13,red,0.13,54.392,8.7,,,26-Aug-13,,
26-Mar-13,red,0.13,53.906,42.6,,,03-Sep-13,,
26-Mar-13,red,0.13,54.392,1.6,,,09-Sep-13,,
02-Apr-13,green,1.25,57.2,0.6,,,16-Sep-13,,
02-Apr-13,green,1.25,57.272,0.5,,,23-Sep-13,,
02-Apr-13,green,1.26,55.868,0.5,,,01-Oct-13,,
02-Apr-13,green,1.26,54.05,0.6,,,08-Oct-13,,
02-Apr-13,green,1.26,54.59,0.6,,,15-Oct-13,,
30-Apr-13,green,0,59.288,1.2,,,21-Oct-13,,
30-Apr-13,green,0,59.09,1.3,,,28-Oct-13,,
30-Apr-13,green,0,57.38,2.4,,,04-Nov-13,,
30-Apr-13,green,0,55.706,2.6,,,12-Nov-13,,
30-Apr-13,green,0,56.102,2.1,,,18-Nov-13,,
06-May-13,green,0,56.822,51.5,,,25-Nov-13,,
06-May-13,green,0,56.012,133.2,,,02-Dec-13,,
06-May-13,green,0,56.318,67.7,,,09-Dec-13,,
06-May-13,green,0,56.21,27.6,,,16-Dec-13,,
06-May-13,green,0,56.354,1029.7,,,18-Dec-13,,
13-May-13,green,0,61.952,43.2,,,07-Jan-14,,
13-May-13,green,0,61.934,47.2,,,14-Jan-14,,
13-May-13,green,0,60.494,24.9,,,21-Jan-14,,
13-May-13,green,0,59.846,18.6,,,28-Jan-14,,
13-May-13,green,0,59.324,58.9,,,03-Feb-14,,
21-May-13,green,0.02,58.946,31.7,,,11-Feb-14,,
21-May-13,green,0.02,59.774,10.1,,,18-Feb-14,,
21-May-13,green,0.02,58.694,322.5,,,25-Feb-14,,
21-May-13,green,0.02,58.208,26.3,,,03-Mar-14,,
21-May-13,green,0.02,59.468,10.9,,,11-Mar-14,,
28-May-13,green,0,57.074,8.8,,,13-Mar-14,,
28-May-13,green,0,54.896,7.8,,,17-Mar-14,,
28-May-13,green,0,53.744,6.7,,,27-Mar-14,,
28-May-13,green,0,55.166,37.7,,,02-Apr-14,,
28-May-13,green,0,55.454,25.4,,,08-Apr-14,,
03-Jun-13,green,0,57.38,12.4,,,14-Apr-14,,
03-Jun-13,green,0,61.808,5.5,,,22-Apr-14,,
03-Jun-13,green,0,60.314,7.4,,,28-Apr-14,,
03-Jun-13,green,0,58.658,13.2,,,05-May-14,,
03-Jun-13,green,0,58.298,11.7,,,12-May-14,,
10-Jun-13,green,0.02,54.194,8.7,,,19-May-14,,
10-Jun-13,green,0.02,53.474,12,,,27-May-14,,
10-Jun-13,green,0.02,53.906,15.3,,,02-Jun-14,,
10-Jun-13,green,0.02,54.806,2.6,,,09-Jun-14,,
10-Jun-13,green,0.02,55.202,5.2,,,16-Jun-14,,
17-Jun-13,green,0,61.178,71.7,,,23-Jun-14,,
17-Jun-13,green,0,62.06,73.8,,,30-Jun-14,,
17-Jun-13,green,0,61.952,41.9,,,07-Jul-14,,
17-Jun-13,green,0,60.296,9.1,,,15-Jul-14,,
17-Jun-13,green,0,61.61,25.5,,,21-Jul-14,,
01-Jul-13,green,0,62.384,0.8,,,23-Jul-14,,
01-Jul-13,green,0,57.668,0.7,,,29-Jul-14,,
01-Jul-13,green,0,60.386,0.8,,,04-Aug-14,,
01-Jul-13,green,0,60.836,0.6,,,11-Aug-14,,
01-Jul-13,green,0,61.358,0.5,,,18-Aug-14,,
09-Jul-13,green,0,59.738,1,,,25-Aug-14,,
09-Jul-13,green,0,59.396,0.5,,,03-Sep-14,,
09-Jul-13,green,0,59.594,0.7,,,09-Sep-14,,
09-Jul-13,green,0,59.558,1.5,,,15-Sep-14,,
09-Jul-13,green,0,59.72,0.8,,,23-Sep-14,,
16-Jul-13,green,0,59.936,0.9,,,29-Sep-14,,
16-Jul-13,green,0,59.324,0.6,,,07-Oct-14,,
16-Jul-13,green,0.01,57.092,1.7,,,14-Oct-14,,
16-Jul-13,green,0.01,55.958,0.9,,,21-Oct-14,,
16-Jul-13,green,0.01,57.056,1.9,,,28-Oct-14,,
22-Jul-13,green,0.01,61.232,2.2,,,04-Nov-14,,
22-Jul-13,green,0.01,60.026,4.8,,,12-Nov-14,,
22-Jul-13,green,0.01,58.586,2.9,,,18-Nov-14,,
22-Jul-13,green,0.01,59.126,5.1,,,25-Nov-14,,
22-Jul-13,green,0.01,60.224,3.1,,,03-Dec-14,,
29-Jul-13,green,0,60.008,6.3,,,09-Dec-14,,
29-Jul-13,green,0,59.378,2.5,,,16-Dec-14,,
29-Jul-13,green,0,59.756,4.4,,,22-Dec-14,,
29-Jul-13,green,0,57.92,3.5,,,30-Dec-14,,
29-Jul-13,green,0,58.64,4,,,05-Jan-15,,
05-Aug-13,green,0,60.242,3,,,13-Jan-15,,
05-Aug-13,green,0,60.656,4.5,,,20-Jan-15,,24-Jun-13
05-Aug-13,green,0,59.99,3.4,,,22-Jan-15,,
05-Aug-13,green,0,59.9,2.8,,,26-Jan-15,,
05-Aug-13,green,0,60.17,5.7,,,02-Feb-15,,
12-Aug-13,red,0,61.358,3.6,,,10-Feb-15,,
12-Aug-13,red,0,61.394,4.1,,,17-Feb-15,,
12-Aug-13,red,0,60.764,3.7,,,23-Feb-15,,
12-Aug-13,red,0,60.674,4,,,02-Mar-15,,
12-Aug-13,red,0,61.034,3.9,,,09-Mar-15,,
14-Aug-13,green,0,61.574,8.4,,,16-Mar-15,,
14-Aug-13,green,0,60.998,4.1,,,17-Mar-15,,
14-Aug-13,green,0,61.052,2.5,,,23-Mar-15,,
14-Aug-13,green,0,60.386,1.5,,,24-Mar-15,,
14-Aug-13,green,0,60.854,3.8,,,01-Apr-15,,
19-Aug-13,yellow,0,62.69,2.8,,,06-Apr-15,,
19-Aug-13,yellow,0,61.736,3.7,,,13-Apr-15,,
19-Aug-13,yellow,0,62.708,1,,,21-Apr-15,,
19-Aug-13,yellow,0,61.754,1,,,27-Apr-15,,
19-Aug-13,yellow,0,61.412,2.1,,,04-May-15,,
20-Aug-13,green,0,60.296,0.7,,,12-May-15,,
20-Aug-13,green,0,61.088,3.2,,,18-May-15,,
20-Aug-13,green,0,58.928,0.7,,,26-May-15,,
20-Aug-13,green,0,59.288,0.9,,,01-Jun-15,,
20-Aug-13,green,0,59.684,2.4,,,08-Jun-15,,
26-Aug-13,yellow,0,62.096,1.5,,,16-Jun-15,,
26-Aug-13,yellow,0,61.988,0.9,,,22-Jun-15,,
26-Aug-13,yellow,0,60.332,0.9,,,29-Jun-15,,
26-Aug-13,yellow,0,61.79,0.8,,,07-Jul-15,,
26-Aug-13,yellow,0,62.672,0.9,,,13-Jul-15,,
03-Sep-13,green,0,63.446,0.7,,,20-Jul-15,,
03-Sep-13,green,0,63.716,1.1,,,27-Jul-15,,
03-Sep-13,green,0,64.094,0.7,,,03-Aug-15,,
03-Sep-13,green,0,63.194,0.7,,,10-Aug-15,,
03-Sep-13,green,0,63.644,0.9,,,17-Aug-15,,
09-Sep-13,green,0,63.5,0,,,24-Aug-15,,
09-Sep-13,green,0,67.01,0,,,31-Aug-15,,
09-Sep-13,green,0,65.732,7.2,,,08-Sep-15,,
09-Sep-13,green,0,70.628,8.5,,,14-Sep-15,,
09-Sep-13,green,0,61.088,0.1,,,15-Sep-15,,
16-Sep-13,green,0.01,61.826,0.5,,,21-Sep-15,,
16-Sep-13,green,0.01,63.59,0.5,,,28-Sep-15,,
16-Sep-13,green,0.02,61.898,0.5,,,05-Oct-15,,
16-Sep-13,green,0.02,59.846,0.4,,,13-Oct-15,,
16-Sep-13,green,0.02,61.502,0.5,,,19-Oct-15,,
08-Oct-13,green,0,60.35,5.4,,,26-Oct-15,,
08-Oct-13,green,0,59,13.7,,,27-Oct-15,,
08-Oct-13,green,0,57.956,4.8,,,03-Nov-15,,
08-Oct-13,green,0,57.776,11,,,09-Nov-15,,
08-Oct-13,green,0,58.1,17,,,16-Nov-15,,
15-Oct-13,green,0,58.118,11.1,,,23-Nov-15,,
15-Oct-13,green,0,57.938,11.5,,,30-Nov-15,,
15-Oct-13,green,0,57.578,8.7,,,08-Dec-15,,
15-Oct-13,green,0,57.038,15.1,,,14-Dec-15,,
15-Oct-13,green,0,57.74,13.4,,,21-Dec-15,,
21-Oct-13,green,0,58.532,38.5,,,28-Dec-15,,
21-Oct-13,green,0,58.01,23.6,,,04-Jan-16,,
21-Oct-13,green,0,57.146,29.4,,,11-Jan-16,,
21-Oct-13,green,0,57.002,21.9,,,19-Jan-16,,
21-Oct-13,green,0,57.218,24,,,25-Jan-16,,
28-Oct-13,green,0.01,57.758,20.1,,,01-Feb-16,,
28-Oct-13,green,0.01,57.146,20.6,,,08-Feb-16,,
28-Oct-13,green,0.07,56.228,12,,,16-Feb-16,,
28-Oct-13,green,0.07,55.364,15.5,,,22-Feb-16,,
28-Oct-13,green,0.07,55.742,49.1,,,29-Feb-16,,
04-Nov-13,green,0.15,58.046,21.7,,,07-Mar-16,,
04-Nov-13,green,0.15,57.56,17.6,,,14-Mar-16,,
04-Nov-13,green,0.15,57.164,19.9,,,21-Mar-16,,
04-Nov-13,green,0.15,56.606,16.9,,,28-Mar-16,,
04-Nov-13,green,0.15,56.948,17.9,,,04-Apr-16,,
12-Nov-13,green,0,72.248,14.1,,,12-Apr-16,,
12-Nov-13,green,0,56.75,0,,,18-Apr-16,,
12-Nov-13,green,0,57.488,145.8,,,25-Apr-16,,
14-Jan-14,green,0,54.626,281.4,,,02-May-16,,
14-Jan-14,green,0,55.058,278.3,,,09-May-16,,
14-Jan-14,green,0,54.428,371.6,,,16-May-16,,
14-Jan-14,green,0,53.888,210.8,,,23-May-16,,
14-Jan-14,green,0,53.78,139.9,,,31-May-16,,
21-Jan-14,green,0,54.608,9.1,,,06-Jun-16,,
21-Jan-14,green,0,54.32,4.3,,,13-Jun-16,,
21-Jan-14,green,0,53.996,3.8,,,20-Jun-16,,
21-Jan-14,green,0,53.78,5.4,,,27-Jun-16,,
21-Jan-14,green,0,54.14,9.8,,,06-Jul-16,,
28-Jan-14,green,0,56.192,2.2,,,11-Jul-16,,
28-Jan-14,green,0,56.03,3.1,,,18-Jul-16,,
28-Jan-14,green,0,55.832,2.1,,,26-Jul-16,,
28-Jan-14,green,0,55.58,3.6,,,01-Aug-16,,
28-Jan-14,green,0,55.868,1.9,,,08-Aug-16,,
03-Feb-14,green,0.47,55.436,5,,,10-Aug-16,,
03-Feb-14,green,0.47,55.058,8.6,,,15-Aug-16,,
03-Feb-14,green,0.48,54.932,5,,,22-Aug-16,,
03-Feb-14,green,0.48,54.41,3.5,,,29-Aug-16,,
03-Feb-14,green,0.48,54.68,4.1,,,06-Sep-16,,
11-Feb-14,green,1.64,55.94,11.6,,,12-Sep-16,,
11-Feb-14,green,1.64,55.616,11.5,,,19-Sep-16,,
11-Feb-14,green,1.65,55.526,15.6,,,26-Sep-16,,
11-Feb-14,green,1.65,55.454,7.1,,,04-Oct-16,,
11-Feb-14,green,1.65,55.562,11.6,,,12-Oct-16,,
18-Feb-14,green,0.19,56.732,3.4,,,19-Oct-16,,
18-Feb-14,green,0.19,56.534,8.8,,,24-Oct-16,,
18-Feb-14,green,0.19,55.904,6.6,,,25-Oct-16,,
18-Feb-14,green,0.19,55.688,4.3,,,01-Nov-16,,
18-Feb-14,green,0.19,55.67,4.6,,,08-Nov-16,,
25-Feb-14,green,0,56.57,36.9,,,14-Nov-16,,
25-Feb-14,green,0,56.336,52.7,,,22-Nov-16,,
25-Feb-14,green,0,56.21,99.8,,,28-Nov-16,,
25-Feb-14,green,0,56.012,193.3,,,05-Dec-16,,
25-Feb-14,green,0,56.174,68.1,,,12-Dec-16,,
03-Mar-14,green,4.67,56.156,2,,,20-Dec-16,,
03-Mar-14,green,4.67,56.462,1.9,,,27-Dec-16,,
03-Mar-14,green,4.71,56.408,2,,,04-Jan-17,,
03-Mar-14,green,4.71,56.048,2,,,09-Jan-17,,
03-Mar-14,green,4.71,55.472,1.9,,,18-Jan-17,,
11-Mar-14,green,0.52,59.558,2.3,,,23-Jan-17,,
11-Mar-14,green,0.52,61.412,2.3,,,30-Jan-17,,
11-Mar-14,green,0.52,60.728,2.2,,,06-Feb-17,,
11-Mar-14,green,0.52,59.072,4.2,,,13-Feb-17,,
11-Mar-14,green,0.52,58.118,3.6,,,21-Feb-17,,
13-Mar-14,green,0,58.244,12.4,,,27-Feb-17,,
17-Mar-14,yellow,0,58.46,35.4,,,06-Mar-17,,
17-Mar-14,yellow,0,57.254,21.5,,,13-Mar-17,,
17-Mar-14,yellow,0,57.164,89.7,,,20-Mar-17,,
17-Mar-14,yellow,0,56.714,57,,,27-Mar-17,,
17-Mar-14,yellow,0,57.434,0.5,,,03-Apr-17,,
27-Mar-14,green,0.79,56.858,9.8,,,10-Apr-17,,
27-Mar-14,green,0.79,54.95,13.7,,,18-Apr-17,,
27-Mar-14,green,0.84,54.5,16.5,,,24-Apr-17,,
27-Mar-14,green,0.84,54.95,5.2,,,01-May-17,,
27-Mar-14,green,0.84,56.246,6.3,,,08-May-17,,
02-Apr-14,green,2.01,56.912,9,,,16-May-17,,
02-Apr-14,green,2.01,56.426,18.6,,,,,
02-Apr-14,green,2.03,56.498,41.8,,,,,
02-Apr-14,green,2.03,55.904,6,,,,,
02-Apr-14,green,2.03,56.624,13,,,,,
08-Apr-14,green,0.18,57.65,0.7,,,,,
08-Apr-14,green,0.18,57.398,0.7,,,,,
08-Apr-14,green,0.18,58.406,0.7,,,,,
08-Apr-14,green,0.18,57.794,0.8,,,,,
08-Apr-14,green,0.18,58.874,0.7,,,,,
14-Apr-14,green,0,56.552,10.6,,,,,
14-Apr-14,green,0,55.22,26.6,,,,,
14-Apr-14,green,0,55.274,9.3,,,,,
14-Apr-14,green,0,55.508,11.6,,,,,
14-Apr-14,green,0,55.814,19.7,,,,,
22-Apr-14,green,0,57.632,0.7,,,,,
22-Apr-14,green,0,58.694,0.8,,,,,
22-Apr-14,green,0,57.776,0.7,,,,,
22-Apr-14,green,0,56.012,0.8,,,,,
22-Apr-14,green,0,55.418,0.7,,,,,
28-Apr-14,green,0.57,54.824,19.1,,,,,
28-Apr-14,green,0.57,53.582,18.9,,,,,
28-Apr-14,green,0.57,53.114,13.5,,,,,
28-Apr-14,green,0.57,52.52,10.4,,,,,
28-Apr-14,green,0.57,53.6,15.5,,,,,
05-May-14,green,0,56.624,6.6,,,,,
05-May-14,green,0,54.572,6.5,,,,,
05-May-14,green,0,53.132,6.3,,,,,
05-May-14,green,0,57.128,6.8,,,,,
05-May-14,green,0,57.812,14.1,,,,,
12-May-14,green,0.06,57.344,16.5,,,,,
12-May-14,green,0.06,56.264,10.5,,,,,
12-May-14,green,0.06,57.902,14.9,,,,,
19-May-14,green,0,59.63,7.3,,,,,
19-May-14,green,0,54.644,3.8,,,,,
19-May-14,green,0,52.808,8.6,,,,,
19-May-14,green,0,53.114,5.8,,,,,
19-May-14,green,0,56.444,6,,,,,
27-May-14,green,0,61.304,26.7,,,,,
27-May-14,green,0,61.808,11.6,,,,,
27-May-14,green,0,60.728,42.4,,,,,
27-May-14,green,0,57.902,16.4,,,,,
27-May-14,green,0,59.09,16.3,,,,,
02-Jun-14,green,0,58.622,12.8,,,,,
02-Jun-14,green,0,57.974,16.3,,,,,
02-Jun-14,green,0,57.758,9.4,,,,,
02-Jun-14,green,0,58.46,10.7,,,,,
02-Jun-14,green,0,58.568,11.5,,,,,
09-Jun-14,green,0,59.432,6.4,,,,,
09-Jun-14,green,0,59.126,13.5,,,,,
09-Jun-14,green,0,58.874,4.8,,,,,
09-Jun-14,green,0,58.928,6.7,,,,,
09-Jun-14,green,0,59.972,8.6,,,,,
16-Jun-14,green,0.01,60.098,8.9,,,,,
16-Jun-14,green,0.01,60.71,12.6,,,,,
16-Jun-14,green,0.01,59.81,9.3,,,,,
16-Jun-14,green,0.01,59.936,4.6,,,,,
16-Jun-14,green,0.01,59.522,9.3,,,,,
23-Jun-14,green,0,60.782,8,,,,,
23-Jun-14,green,0,60.926,8.2,,,,,
23-Jun-14,green,0,60.152,3.8,,,,,
23-Jun-14,green,0,59.27,4.6,,,,,
21-Jul-14,yellow,0.02,61.016,5.4,,,,,
21-Jul-14,yellow,0.02,60.188,5.3,,,,,
21-Jul-14,yellow,0.02,60.134,8.2,,,,,
21-Jul-14,yellow,0.02,60.71,2.3,,,,,
21-Jul-14,yellow,0.02,62.33,8.4,,,,,
23-Jul-14,green,0,63.086,17.7,,,,,
23-Jul-14,green,0,62.15,10.5,,,,,
23-Jul-14,green,0,62.636,3,,,,,
23-Jul-14,green,0,61.412,16.2,,,,,
23-Jul-14,green,0,63.788,5.6,,,,,
29-Jul-14,green,0,64.454,7.8,,,,,
29-Jul-14,green,0,62.402,3.6,,,,,
29-Jul-14,green,0,62.78,3.3,,,,,
29-Jul-14,green,0,63.41,4.8,,,,,
29-Jul-14,green,0,63.464,8.8,,,,,
04-Aug-14,green,0,62.87,3,,,,,
04-Aug-14,green,0,62.33,1.3,,,,,
04-Aug-14,green,0,62.834,1.9,,,,,
04-Aug-14,green,0,62.06,3.5,,,,,
04-Aug-14,green,0,63.158,4.3,,,,,
11-Aug-14,green,0,65.102,2.5,,,,,
11-Aug-14,green,0,63.176,2.7,,,,,
11-Aug-14,green,0,62.564,2.7,,,,,
11-Aug-14,green,0,62.06,3.1,,,,,
11-Aug-14,green,0,63.266,3.3,,,,,
18-Aug-14,green,0,61.412,4.5,,,,,
18-Aug-14,green,0,62.852,4.8,,,,,
18-Aug-14,green,0,62.366,5.3,,,,,
18-Aug-14,green,0,61.862,4.3,,,,,
18-Aug-14,green,0,62.24,5.3,,,,,
25-Aug-14,green,0.01,66.11,13.9,,,,,
25-Aug-14,green,0.01,65.318,22.1,,,,,
25-Aug-14,green,0.01,62.834,13.4,,,,,
25-Aug-14,green,0.01,62.996,1.5,,,,,
25-Aug-14,green,0.01,64.076,7.6,,,,,
03-Sep-14,green,0,66.002,13.7,,,,,
03-Sep-14,green,0,64.04,10,,,,,
03-Sep-14,green,0,64.166,8,,,,,
03-Sep-14,green,0,63.338,11.4,,,,,
03-Sep-14,green,0,65.03,7.9,,,,,
15-Sep-14,green,0,61.466,49.5,,,,,
15-Sep-14,green,0,62.222,139.5,,,,,
15-Sep-14,green,0,62.456,219.4,,,,,
15-Sep-14,green,0,62.438,81.6,,,,,
15-Sep-14,green,0,62.816,105.1,,,,,
23-Sep-14,yellow,0.25,63.788,132.4,,,,,
23-Sep-14,yellow,0.25,62.942,304.8,,,,,
23-Sep-14,yellow,0.25,62.636,65.8,,,,,
23-Sep-14,yellow,0.25,62.204,164.7,,,,,
23-Sep-14,yellow,0.25,63.932,43.4,,,,,
29-Sep-14,yellow,0.59,63.428,4.6,,,,,
29-Sep-14,yellow,0.59,63.428,5.8,,,,,
29-Sep-14,yellow,0.59,63.14,2.1,,,,,
29-Sep-14,yellow,0.59,62.96,2.9,,,,,
29-Sep-14,yellow,0.59,62.888,4.8,,,,,
07-Oct-14,green,0.01,63.446,1.4,,,,,
07-Oct-14,green,0.01,63.266,1.3,,,,,
07-Oct-14,green,0.01,63.032,1.5,,,,,
07-Oct-14,green,0.01,62.762,2.3,,,,,
07-Oct-14,green,0.01,63.554,1.2,,,,,
14-Oct-14,green,0.02,61.682,1.2,,,,,
14-Oct-14,green,0.02,61.52,1.4,,,,,
14-Oct-14,green,0.02,61.142,1.5,,,,,
14-Oct-14,green,0.02,60.242,3.9,,,,,
14-Oct-14,green,0.02,60.782,1.9,,,,,
21-Oct-14,green,0.04,62.078,3.4,,,,,
